matched_term,file_name,match_line_number,know_option,think_option,target,token,force,comp,subj,unique_id,verb_in_prior_context,child,interaction,context_pre_1,context_pre_2,context_pre_3,context_pre_4,context_pre_5,context_pre_6,context_pre_7,context_pre_8,context_pre_9,context_pre_10,matched_line,context_post_1,context_post_2,Sample_Set,factors,Factors
"you know where to... where things go, right? ",andy mothertoy.cha,1045,know,think,know,know,declarative,interrogative,2,3.001,no,andy,mother,MOTHER: \t okay. ,CHILD: \t get back. ,CHILD: \t I'll watch you. ,MOTHER: \t you'll watch me? ,MOTHER: \t you're not gonna help me? ,MOTHER: \t I'm not sure I could do it either. ,CHILD: \t someone help us. ,"MOTHER: \t [laugh] the blue screws go in front, right? ",MOTHER: \t these are the headlights. ,MOTHER: \t you come help me. ,"MOTHER: \t you know where to... where things go, right? ",MOTHER: \t the people? ,CHILD: \t the people belong inside it. ,666,know-declarative-interrogative,know-declarative-interrogative
uh oh now I know why they call it a take apart car! [laugh],wanda mothertoy.cha,481,know,think,know,know,declarative,interrogative,1,3.002,no,wanda,mother,MOTHER: \t you want to make it looser if you want to take it apart.,CHILD: \t oh. [cough],CHILD: \t I wonder if the door's locked.,"MOTHER: \t oh, no.",MOTHER: \t it's not locked.,MOTHER: \t it's just closed so that people walking up and down the hall won't bother us.,CHILD: \t oh.,MOTHER: \t that's one more.,"MOTHER: \t okay, who's going to take the tire off, me or you?",MOTHER: \t you.,MOTHER: \t uh oh now I know why they call it a take apart car! [laugh],MOTHER: \t that's one whole side of the car taken apart.,"MOTHER: \t here, we've got one more side of the car to take apart.",666,know-declarative-interrogative,know-declarative-interrogative
I know why I'm standing up.,patricia dinner.cha,2007,know,think,know,know,declarative,interrogative,1,3.003,no,patricia,dinner,"FATHER: \t I showed her that, but...",FATHER: \t look at it after dinner if you want.,FATHER: \t eat your pickle.,FATHER: \t I gave you a pickle to eat.,FATHER: \t Usher likes pickles.,CHILD: \t mum num.,FATHER: \t [noise],CHILD: \t [noise],MOTHER: \t what.,FATHER: \t alright.,FATHER: \t I know why I'm standing up.,FATHER: \t I wanna call Michael.,MOTHER: \t the french fries are all gone.,666,know-declarative-interrogative,know-declarative-interrogative
I know where they go.,frank fathertoy.cha,659,know,think,know,know,declarative,interrogative,1,3.004,yes,frank,father,CHILD: \t this go in here?,FATHER: \t I don't think so.,FATHER: \t you know something else goes in there first.,FATHER: \t wait a minute.,CHILD: \t what?,FATHER: \t doesn't something go in there?,FATHER: \t what about these.,FATHER: \t where do they go?,FATHER: \t uh oh.,FATHER: \t oh.,FATHER: \t I know where they go.,FATHER: \t you know where they go?,FATHER: \t where?,666,know-declarative-interrogative,know-declarative-interrogative
I know where that is.,eddie dinner.cha,510,know,think,know,know,declarative,interrogative,1,3.006,yes,eddie,dinner,FATHER: \t now tell me what you did.,"CHILD: \t well, you know where I went with Philip and baby Mark?","FATHER: \t nope, where'd you go?",CHILD: \t to the playground with Philip and baby Mark and Joel and Rachel.,FATHER: \t which playground was this ?,FATHER: \t what playground was this?,MOTHER: \t Clarendon Street.,CHILD: \t Clarendon Street.,FATHER: \t oh yeah.,FATHER: \t mhm.,FATHER: \t I know where that is.,MOTHER: \t and who did we see when we was at the playground?,CHILD: \t Yoye.,666,know-declarative-interrogative,know-declarative-interrogative
"oh I know what you're gonna buy, too.",eddie mothertoy.cha,1803,know,think,know,know,declarative,interrogative,1,3.007,no,eddie,mother,CHILD: \t I don't wanna.,MOTHER: \t okay do you wanna buy something from me?,CHILD: \t no.,MOTHER: \t huh?,CHILD: \t what?,MOTHER: \t would you like to buy something from me?,"MOTHER: \t I'll be a store lady, okay?",CHILD: \t nah.,MOTHER: \t and... you come over and buy something.,CHILD: \t no I wanna be...,"MOTHER: \t oh I know what you're gonna buy, too.",CHILD: \t no I wanna be...,MOTHER: \t you wanna be the storeman?,666,know-declarative-interrogative,know-declarative-interrogative
I know what we could do.,david dinner.cha,1401,know,think,know,know,declarative,interrogative,1,3.008,yes,david,dinner,FATHER: \t I'm afraid we are... I think with your cream cheese and... uh... and...,"MOTHER: \t what're we gonna do when we wanna have a garlic bagel, David, or an onion bagel?",CHILD: \t we can... um.,CHILD: \t you know what you can do?,MOTHER: \t what?,SISTER: \t cream cheese and bagel on a... on a...  on a pretzel.,MOTHER: \t on a pretzel.,MOTHER: \t oh dear.,"MOTHER: \t it's just not the same, though.",CHILD: \t is that...,MOTHER: \t I know what we could do.,MOTHER: \t we could have Grandma Rose send us some in the mail.,CHILD: \t yeah!,666,know-declarative-interrogative,know-declarative-interrogative
I know what  that is.,ursula fathertoy.cha,3671,know,think,know,know,declarative,interrogative,1,3.01,yes,ursula,father,INVESTIGATOR: \t I brought you a present for today's visit.,"CHILD: \t look, Daddy.","FATHER: \t what's that, Urs?",CHILD: \t I don't know.,CHILD: \t I can't open it.,CHILD: \t it's too tight to...,INVESTIGATOR: \t it is pretty tight.,INVESTIGATOR: \t that's just for today's visit.,FATHER: \t [gasp],INVESTIGATOR: \t we have another present for her second visit.,FATHER: \t I know what  that is.,CHILD: \t what is it?,FATHER: \t that's bubbles. [noise],666,know-declarative-interrogative,know-declarative-interrogative
I know what it is.,martin dinner.cha,2690,know,think,know,know,declarative,interrogative,1,3.012,no,martin,dinner,CHILD: \t [noise],MOTHER: \t why didn't you eat those potatoes?,MOTHER: \t you did a very nice job.,MOTHER: \t you ate all your scallops and your salad.,MOTHER: \t why didn't you eat some potato?,FATHER: \t what's the red stuff on the floor here?,CHILD: \t Daddy ate the scallops.,MOTHER: \t yeah [laugh] but Daddy didn't eat too many of em.,"FATHER: \t oh, God!",FATHER: \t there's chopped up...,MOTHER: \t I know what it is.,FATHER: \t chopped up crayon.,CHILD: \t I eat too many of em.,666,know-declarative-interrogative,know-declarative-interrogative
I know what it is.,guy fathertoy.cha,2076,know,think,know,know,declarative,interrogative,1,3.013,yes,guy,father,FATHER: \t what have we done wrong?,"FATHER: \t hmm [noise] perhaps try that now, Guy.",CHILD: \t what?,CHILD: \t what?,"FATHER: \t try it... try it now, sweetheart.",FATHER: \t I don't think that makes a difference.,FATHER: \t do you know something?,CHILD: \t what?,FATHER: \t I think... we're doing something wrong.,FATHER: \t ah!,FATHER: \t I know what it is.,FATHER: \t I know.,FATHER: \t let's take it off.,666,know-declarative-interrogative,know-declarative-interrogative
yeah I know what he wants.,olivia dinner.cha,567,know,think,know,know,declarative,interrogative,1,3.014,no,olivia,dinner,FATHER: \t they're unreal.,MOTHER: \t was he [noise] that night?,FATHER: \t he was on that night yeah.,FATHER: \t he's a good public relations man.,FATHER: \t he sent residents to the party while he stayed in the hospital.,CHILD: \t wah!,FATHER: \t all public relations.,CHILD: \t wah!,"MOTHER: \t ooo, what's the matter?",CHILD: \t wah wah.,MOTHER: \t yeah I know what he wants.,MOTHER: \t ...you tired little fella?,FATHER: \t are you tired little fella?,666,know-declarative-interrogative,know-declarative-interrogative
I know what happens.,guy mothertoy.cha,2323,know,think,know,know,declarative,interrogative,1,3.0154,no,guy,mother,MOTHER: \t you didn't lose your kitty.,CHILD: \t sit.,MOTHER: \t sit kitty?,CHILD: \t uhhuh.,MOTHER: \t mm.,MOTHER: \t why?,MOTHER: \t is the kitty running too fast or something?,CHILD: \t uhhuh.,MOTHER: \t mm.,MOTHER: \t oh.,MOTHER: \t I know what happens.,MOTHER: \t the policeman says to the cat.,"MOTHER: \t ""come here cat.""",666,know-declarative-interrogative,know-declarative-interrogative
"I know what goes back here, Lisa.",wanda mothertoy.cha,1000,know,think,know,know,declarative,interrogative,1,3.016,yes,wanda,mother,CHILD: \t Lisa.,"MOTHER: \t Debbie and Lisa, the two mechanics?",CHILD: \t yeah.,"MOTHER: \t okay, Debbie...  Debbie what do think we.",CHILD: \t Debra.,MOTHER: \t should do?,CHILD: \t uh.,MOTHER: \t to fix this car?,CHILD: \t I don't know.,"MOTHER: \t um, let's see if I can remember what goes back here.","MOTHER: \t I know what goes back here, Lisa.",MOTHER: \t Debbie...,MOTHER: \t who are you?,666,know-declarative-interrogative,know-declarative-interrogative
we know where the people go. ,andy fathertoy.cha,1418,know,think,know,know,declarative,interrogative,1,3.017,yes,andy,father,FATHER: \t where do the red and the black screw go? ,CHILD: \t and where does this go? ,CHILD: \t and these two blue screws? ,FATHER: \t I don't know.,FATHER: \t and what was holding the wheel? ,FATHER: \t we didn't remember. ,FATHER: \t we should have... maybe even written some things down. ,"FATHER: \t like what belongs where, hmm? ",CHILD: \t but we knew where these people go. ,"FATHER: \t yup, that we know. ",FATHER: \t we know where the people go. ,CHILD: \t I know where these go. ,FATHER: \t I wonder what holds in the spare tire? ,666,know-declarative-interrogative,know-declarative-interrogative
"course he knows where she is, he's peeking at her from behind the tree.",ursula mothertoy.cha,1699,knows,thinks,know,knows,declarative,interrogative,3,3.018,no,ursula,mother,CHILD: \t me.,"MOTHER: \t [laugh] she's giving her kitty cat a little ride in the carriage, huh?",CHILD: \t yeah.,MOTHER: \t oh oh! [gasp],MOTHER: \t look what happened.,"MOTHER: \t she's bending over to pick a very pretty flower, and... the cat doesn't like the ride.",MOTHER: \t cats don't usually like to ride too well so... he's trying to run out of the carriage when she's not looking.,MOTHER: \t she turns around and she goes.,"MOTHER: \t  ""oh no.""",MOTHER: \t she sees the blanket on the ground and the cat's gone.,"MOTHER: \t course he knows where she is, he's peeking at her from behind the tree.",MOTHER: \t she runs off to get a policeman because she can't find her cat.,MOTHER: \t she's really kind of worried.,666,know-declarative-interrogative,know-declarative-interrogative
