ï»¿matched term,file name,match line number,know option,think option,verb,token,force,comp,subj,unique id,verb in prior context,child,interaction,context pre 1,context pre 2,context pre 3,context pre 4,context pre 5,context pre 6,context pre 7,context pre 8,context pre 9,context pre 10,matched line,context post 1,context post 2,Sample Set,factors,Factors
you know when you use a jack?,isadora mothertoy.cha,2288,know,think,know,know,interrogative,interrogative,2,6.002,yes,isadora,mother,MOTHER: \t isn't it?,CHILD: \t yeah.,MOTHER: \t yeah.,CHILD: \t now.,CHILD: \t this goes like that.,MOTHER: \t mhm that's a...,CHILD: \t now...,MOTHER: \t you know what this is called?,CHILD: \t what?,MOTHER: \t this is called a jack.,MOTHER: \t you know when you use a jack?,CHILD: \t what?,MOTHER: \t when you have a flat tire.,666,know-interrogative-interrogative,know-interrogative-interrogative
you know what  lasagne is? ,charlie fathertoy.cha,667,know,think,know,know,interrogative,interrogative,2,6.01,no,charlie,father,CHILD: \t [noise] some sugar. ,FATHER: \t sugar. ,CHILD: \t chocolate. ,FATHER: \t chocolate. ,CHILD: \t Oreos. ,FATHER: \t Oreos. ,FATHER: \t oh I see something that I would love to have for lunch. ,FATHER: \t not that. ,FATHER: \t lasagne. ,CHILD: \t mm lasagne. ,FATHER: \t you know what  lasagne is? ,CHILD: \t yeah. ,CHILD: \t hey where that box is? ,666,know-interrogative-interrogative,know-interrogative-interrogative
"you know what kind of fish that is, Helen?",helen dinner.cha,3056,know,think,know,know,interrogative,interrogative,2,6.011,no,helen,dinner,CHILD: \t the telephone rock.,CHILD: \t dee dee dee dee.,"CHILD: \t [noise] rock, rock, rock.","CHILD: \t that's for me, Ma. [noise]",FATHER: \t poopy?,CHILD: \t what?,FATHER: \t try a little more fish.,CHILD: \t no. [noise],FATHER: \t just a little.,CHILD: \t naw.,"MOTHER: \t you know what kind of fish that is, Helen?",CHILD: \t what?,MOTHER: \t filet of sole.,666,know-interrogative-interrogative,know-interrogative-interrogative
you know what happened?,laurel fathertoy.cha,1776,know,think,know,know,interrogative,interrogative,2,6.05,yes,laurel,father,FATHER: \t now put the other wheel back on.,CHILD: \t this.,FATHER: \t yep.,FATHER: \t I'm glad you used the black one.,FATHER: \t wanna use the black one or the red one?,FATHER: \t is it on?,CHILD: \t mhm.,FATHER: \t let's see.,FATHER: \t you know I think you've gotta use the other...,FATHER: \t let's see what...,FATHER: \t you know what happened?,CHILD: \t what?,FATHER: \t the nut...,666,know-interrogative-interrogative,know-interrogative-interrogative
you know what a screwdriver does Richard?,richard mothertoy.cha,2423,know,think,know,know,interrogative,interrogative,2,6.058,no,richard,mother,MOTHER: \t no.,CHILD: \t right here?,CHILD: \t oh.,CHILD: \t right here.,MOTHER: \t well... close.,MOTHER: \t bring the car back over here.,MOTHER: \t and I'll show you.,MOTHER: \t I'll help you with it.,CHILD: \t okay.,MOTHER: \t but bring back the other pieces also.,MOTHER: \t you know what a screwdriver does Richard?,CHILD: \t yeah.,MOTHER: \t what does a screwdriver do?,666,know-interrogative-interrogative,know-interrogative-interrogative
but you know what you could use this as?,patricia fathertoy.cha,971,know,think,know,know,interrogative,interrogative,2,6.096,yes,patricia,father,"FATHER: \t alright, what's this?",FATHER: \t do you know what this is?,CHILD: \t what?,"FATHER: \t we... your... your Emma and I don't drink any of this stuff, so you don't know.",FATHER: \t do you know what coffee...,FATHER: \t do you have to go to the bathroom?,CHILD: \t no.,FATHER: \t no.,FATHER: \t um it's a coffee.,FATHER: \t coffee comes in here.,FATHER: \t but you know what you could use this as?,CHILD: \t what?,FATHER: \t a what?,666,know-interrogative-interrogative,know-interrogative-interrogative
"hey, you know what would happen if I weren't holding on to this chair?",charlie dinner.cha,4176,know,think,know,know,interrogative,interrogative,2,6.1,no,charlie,dinner,"CHILD: \t Ma, please get me out of here.",MOTHER: \t first I have to clean you off.,MOTHER: \t would you wait here?,FATHER: \t hey!,FATHER: \t what's up?,CHILD: \t I don't want any.,FATHER: \t you don't want any.,FATHER: \t I think you have enough on your shirt... to last you through a long cold winter.,MOTHER: \t let's see your face.,CHILD: \t [noise],"FATHER: \t hey, you know what would happen if I weren't holding on to this chair?",CHILD: \t what?,FATHER: \t and you were climbing up on it like that?,666,know-interrogative-interrogative,know-interrogative-interrogative
and you know what she does?,guy mothertoy.cha,2706,know,think,know,know,interrogative,interrogative,2,6.17,yes,guy,mother,MOTHER: \t the cat goes up the tree.,MOTHER: \t and you know what happens when cats go up trees?,MOTHER: \t it's hard to find them.,MOTHER: \t but the policeman grabs the kitty.,MOTHER: \t uh oh.,MOTHER: \t they fall down.,MOTHER: \t mhm.,MOTHER: \t you know what I discovered?,CHILD: \t what?,MOTHER: \t this lady... is a nurse like nurse Mathilda.,MOTHER: \t and you know what she does?,MOTHER: \t she puts on her nursing costume.,MOTHER: \t see it?,666,know-interrogative-interrogative,know-interrogative-interrogative
you know what she brought for em?,laurel mothertoy.cha,1591,know,think,know,know,interrogative,interrogative,2,6.171,yes,laurel,mother,MOTHER: \t poor policeman hurt himself.,MOTHER: \t he has a little cane he's walking on.,MOTHER: \t and the little boy got into the carriage.,MOTHER: \t and the cat is walking behind him.,MOTHER: \t well.,MOTHER: \t I guess the little girl's gonna bring em all home.,MOTHER: \t let's see.,MOTHER: \t do you think she's gonna bring em into her house?,CHILD: \t no.,MOTHER: \t oh.,MOTHER: \t you know what she brought for em?,CHILD: \t [noise],MOTHER: \t what does she have for them?,666,know-interrogative-interrogative,know-interrogative-interrogative
you know how it works?,isadora mothertoy.cha,3231,know,think,know,know,interrogative,interrogative,2,6.177,yes,isadora,mother,INVESTIGATOR: \t well.,INVESTIGATOR: \t you can do that.,MOTHER: \t you wanna do that for a minute?,INVESTIGATOR: \t hi.,INVESTIGATOR: \t I brought you a present.,INVESTIGATOR: \t you know what that is ?,MOTHER: \t oh look what you have.,MOTHER: \t what do you say?,MOTHER: \t what do you say?,CHILD: \t thank you.,MOTHER: \t you know how it works?,INVESTIGATOR: \t oh.,INVESTIGATOR: \t you do I think.,666,know-interrogative-interrogative,know-interrogative-interrogative
"okay, do you know where to put that?",frank mothertoy.cha,1817,know,think,know,know,interrogative,interrogative,2,6.193,no,frank,mother,MOTHER: \t is there another one?,MOTHER: \t another color?,CHILD: \t ah... there's only three.,MOTHER: \t how bout that yellow one?,CHILD: \t this one?,MOTHER: \t yeah.,MOTHER: \t but there should be another yellow one.,MOTHER: \t oh there it is underneath there.,MOTHER: \t okay.,CHILD: \t where?,"MOTHER: \t okay, do you know where to put that?",CHILD: \t yeah.,CHILD: \t like this?,666,know-interrogative-interrogative,know-interrogative-interrogative
do you know what this is? ,andy mothertoy.cha,1186,know,think,know,know,interrogative,interrogative,2,6.237,no,andy,mother,MOTHER: \t okay can you... ,CHILD: \t where's my man ? ,MOTHER: \t can you put...,MOTHER: \t on it...,MOTHER: \t that's the woman. ,CHILD: \t here is my man. ,CHILD: \t hey where... ,"MOTHER: \t okay, can you put a wheel back here? ",MOTHER: \t Andy can you... can you get this one in? ,CHILD: \t [noise] bee. ,MOTHER: \t do you know what this is? ,MOTHER: \t well it goes back here. ,CHILD: \t [noise],666,know-interrogative-interrogative,know-interrogative-interrogative
do you know what that is?,patricia mothertoy.cha,1415,know,think,know,know,interrogative,interrogative,2,6.259,no,patricia,mother,MOTHER: \t that's what we have?,CHILD: \t yeah.,MOTHER: \t is ours a little one like this?,CHILD: \t yes.,MOTHER: \t wow.,MOTHER: \t this one's old.,MOTHER: \t huh.,MOTHER: \t what else?,CHILD: \t um.,MOTHER: \t what else should we buy?,MOTHER: \t do you know what that is?,CHILD: \t um.,CHILD: \t look at this.,666,know-interrogative-interrogative,know-interrogative-interrogative
do you know what that is?,laurel fathertoy.cha,2125,know,think,know,know,interrogative,interrogative,2,6.267,no,laurel,father,CHILD: \t hunhunh.,FATHER: \t I don't see one.,FATHER: \t well.,FATHER: \t I guess it didn't.,FATHER: \t you wanna put that on?,CHILD: \t what?,FATHER: \t ya want...,CHILD: \t [noise],FATHER: \t put the steering wheel back on.,FATHER: \t what's that?,FATHER: \t do you know what that is?,CHILD: \t [noise],FATHER: \t what is it?,666,know-interrogative-interrogative,know-interrogative-interrogative
do you know what she's wearing?,nanette mothertoy.cha,1924,know,think,know,know,interrogative,interrogative,2,6.276,yes,nanette,mother,MOTHER: \t what's he doing?,CHILD: \t what... what... what Puddy doing?,MOTHER: \t what is he doing?,CHILD: \t what's Puddy doing?,MOTHER: \t there's Puddy right there.,MOTHER: \t but look at the little boy.,MOTHER: \t the little boy is in the carriage.,MOTHER: \t I don't know.,MOTHER: \t this is a... funny mixed up story.,"MOTHER: \t oh, look it, they're pretending now to have a tea party.",MOTHER: \t do you know what she's wearing?,CHILD: \t a hat.,MOTHER: \t do you know what kind of hat that is?,666,know-interrogative-interrogative,know-interrogative-interrogative
