matched_term,file_name,match_line_number,know_option,think_option,verb,force,comp,subj,unique_id,child,interaction,context_pre_1,context_pre_2,context_pre_3,context_pre_4,context_pre_5,context_pre_6,context_pre_7,context_pre_8,context_pre_9,context_pre_10,matched_line,context_post_1,context_post_2,Sample_Set,factors
you [/] you know you slept until daddy hadda [: had to] wake you up ?,laurel_dinner.cha,2180,know,think,know,interrogative,declarative,2,4.004,laurel,dinner,*FAT:	hang on.,"*FAT:	the other thing, tootsie .",*MOT:	yeah.,*CHI:	wanna get down now.,*CHI:	wanna get down.,"*MOT:	you know, you're gonna wake up at about ten o'clock and tell me",*FAT:	what time did you sleep till this morning?,*MOT:	she slept a long time.,*FAT:	she slept until I woke her up to &ge  to go to work .,"*MOT:	yeah, she slept a long time .",*FAT:	you  you know you slept until daddy hadda  wake you up?,*FAT:	do you know daddy woke you up this morning ?,*MOT:	you was a very good girl this morning .,666,know-interrogative-declarative
you know that [//] in about a month we're going to Florida ?,theresa_dinner.cha,1045,know,think,know,interrogative,declarative,2,4.007,theresa,dinner,*MOT:	xxx .,*FAT:	who?,*CHI:	I don't see any noisemakers &ha !,*MOT:	haha .,*CHI:	and then we saw some tom  tomato juice on somebod  on,*MOT:	xxx  ya know what I think?,*FAT:	&hmm.,*CHI:	what?,*MOT: [laughing I think you're making up a big story].,*CHI:	I'm not !,*FAT:	you know that  in about a month we're going to Florida?,*CHI:	Daddy: !,*CHI:	are you there?,666,know-interrogative-declarative
"you know what kind of fish that is , Helen ?",helen_dinner.cha,3056,know,think,know,interrogative,interrogative,2,6.011,helen,dinner,*CHI:	the telephone rock.,"*CHI:	dee@o, dee@o, dee@o, dee@o.","*CHI:	rock, rock, rock.","*CHI:	that's for me, Ma: xxx.",*FAT:	poopy?,*CHI:	what?,*FAT:	try a little more fish.,*CHI:	no: xxx.,*FAT:	just a little.,*CHI:	naw.,"*MOT:	you know what kind of fish that is, Helen?",*CHI:	what?,*MOT:	filet of sole.,666,know-interrogative-interrogative
do you know what she's wearing ?,nanette_mothertoy.cha,1924,know,think,know,interrogative,interrogative,2,6.276,nanette,mother,*MOT:	what's he doing?,*CHI:	what  what  what Puddy doing?,*MOT:	what is he doing?,*CHI:	&wh what's Puddy doing?,*MOT:	there's Puddy right there.,*MOT:	but look at the little boy.,*MOT:	the little boy is in the carriage.,*MOT:	I don't know.,*MOT:	this is a . funny mixed up story.,"*MOT:	oh, look_it, they're pretending now to have a tea party.",*MOT:	do you know what she's wearing?,*CHI:	a hat.,*MOT:	do you know what kind of hat that is?,666,know-interrogative-interrogative
<you know what> [<] lasagne is ?,charlie_fathertoy.cha,667,know,think,know,interrogative,interrogative,2,6.01,charlie,father,*CHI:	some sugar. ,*FAT:	sugar. ,*CHI:	chocolate. ,*FAT:	chocolate. ,*CHI:	Oreos. ,*FAT:	Oreos. ,*FAT:	oh I see something that I would love to have for lunch. ,*FAT:	not that. ,*FAT:	lasagne. ,*CHI:	&mm lasagne . ,*FAT:	you know what  lasagne is? ,*CHI:	yeah. ,*CHI:	hey where that box is? ,666,know-interrogative-interrogative
you know what a screw+driver (do)es Richard ?,richard_mothertoy.cha,2423,know,think,know,interrogative,interrogative,2,6.058,richard,mother,*MOT:	no .,*CHI:	right here ?,*CHI:	oh.,*CHI:	right here.,*MOT:	well . close.,*MOT:	bring the car back over here.,*MOT:	and I'll show you.,*MOT:	I'll help you with it.,*CHI:	okay.,*MOT:	but bring back the other pieces also.,*MOT:	you know what a screwdriver does Richard?,*CHI:	yeah.,*MOT:	what does a screwdriver do?,666,know-interrogative-interrogative
but you know what you could use this as ?,patricia_fathertoy.cha,971,know,think,know,interrogative,interrogative,2,6.096,patricia,father,"*FAT:	alright ., what's this?",*FAT:	do you know what this is?,*CHI:	what?,"*FAT:	we  your  your Emma and I don't drink any of this stuff, so",*FAT:	do you know what coffee .,*FAT:	do you have_to go to the bathroom?,*CHI:	no.,*FAT:	no.,*FAT:	&um it's a coffee .,*FAT:	coffee comes in here.,*FAT:	but you know what you could use this as?,*CHI:	what?,*FAT:	a what?,666,know-interrogative-interrogative
"hey , you know what would happen if I weren't holding on to this chair ?",charlie_dinner.cha,4176,know,think,know,interrogative,interrogative,2,6.1,charlie,dinner,"*CHI:	Ma, please get me out_of here.",*MOT:	first I have_to clean you off.,*MOT:	would you wait here?,*FAT:	hey !,*FAT:	what's up?,*CHI:	I don't want any.,*FAT:	you don't want any.,*FAT:	I think you have enough on your shirt . to last you through a,*MOT:	let's see your face.,*CHI: [noises].,"*FAT:	hey, you know what would happen if I weren't holding on to this chair?",*CHI:	what?,*FAT:	and you were climbing up on it like that?,666,know-interrogative-interrogative
do you know [/] do you know what this is ?,andy_mothertoy.cha,1186,know,think,know,interrogative,interrogative,2,6.237,andy,mother,*CHI:	where's my man ? ,*MOT:	okay can you   . ,*MOT:	can you put . ,*MOT:	oh the . ,*MOT:	that's the woman. ,*CHI:	here is my man. ,*CHI:	hey where   . ,*MOT:	okay  can you put a wheel back here? ,*MOT:	Andy can you  can you get this one in? ,*CHI:	bee: xxx. ,*MOT:	do you know  do you know what this is? ,*MOT:	well it goes back here. ,*CHI:	xxx. ,666,know-interrogative-interrogative
you know what she brought for em ?,laurel_mothertoy.cha,1591,know,think,know,interrogative,interrogative,2,6.171,laurel,mother,*MOT:	poor policeman hurt himself.,*MOT:	he has a little cane he's walking on.,*MOT:	and the little boy got into the carriage.,*MOT:	and the cat is walking behind him.,*MOT:	well.,*MOT:	I guess the little girl's gonna bring em all home.,*MOT:	let's see.,*MOT:	do you think she's gonna bring em into her house?,*CHI:	no.,*MOT:	oh.,*MOT:	you know what she brought for em?,*CHI:	xxx.,*MOT:	what does she have for them?,666,know-interrogative-interrogative
do you know what that is ?,patricia_mothertoy.cha,1415,know,think,know,interrogative,interrogative,2,6.259,patricia,mother,*CHI:	that what we have.,*MOT:	that's what we have?,*CHI:	yeah.,*MOT:	is ours a little one like this?,*CHI:	yes.,*MOT:	wow.,*MOT:	this one's old.,*MOT:	what else?,*CHI:	&um.,*MOT:	what else should we buy?,*MOT:	do you know what that is?,*CHI:	&um.,*CHI:	look at this.,666,know-interrogative-interrogative
you know when you use a jack ?,isadora_mothertoy.cha,2288,know,think,know,interrogative,interrogative,2,6.002,isadora,mother,*MOT:	isn't it?,*CHI:	yeah.,*MOT:	yeah.,*CHI:	now.,*CHI:	this goes like that.,*MOT:	mhm that's a .,*CHI:	now  .,*MOT:	you know what this is called?,*CHI:	what?,*MOT:	this is called a jack.,*MOT:	you know when you use a jack?,*CHI:	what?,*MOT:	when you have a flat tire.,666,know-interrogative-interrogative
you know how it works ?,isadora_mothertoy.cha,3231,know,think,know,interrogative,interrogative,2,6.177,isadora,mother,*INV:	you can do that.,*CHI:	xxx.,*MOT:	you wanna do that for a minute?,*INV:	hi.,*INV:	I brought you a present.,*INV:	you know what that is ?,*MOT:	oh look what you have .,*MOT:	what do you say?,*MOT:	what do you say?,*CHI:	thank_you.,*MOT:	you know how it works?,*INV:	oh.,*INV:	you do I think.,666,know-interrogative-interrogative
you know what happened ?,laurel_fathertoy.cha,1776,know,think,know,interrogative,interrogative,2,6.05,laurel,father,*FAT:	now put the other wheel back on.,*CHI:	this.,*FAT:	yep.,*FAT:	I'm glad you used the black one.,*FAT:	wanna use the black one or the red one?,*FAT:	is it on?,*CHI:	mhm.,*FAT:	let's see.,*FAT:	you know I think you've gotta sue the other .,*FAT:	let's see what [gasp].,*FAT:	you know what happened?,*CHI:	what?,*FAT:	the nut .,666,know-interrogative-interrogative
and you know what she (do)es ?,guy_mothertoy.cha,2706,know,think,know,interrogative,interrogative,2,6.17,guy,mother,*MOT:	the cat goes up the tree.,*MOT:	and you know what happens when cats go up trees?,*MOT:	it's hard to find them.,*MOT:	but the policeman grabs the kitty.,*MOT:	&uh oh.,*MOT:	they fall down.,*MOT:	mhm.,*MOT:	you know what I discovered?,*CHI:	what?,*MOT:	this lady . is a nurse like nurse Mathilda.,*MOT:	and you know what she does?,*MOT:	she puts on her nursing costume.,*MOT:	see it?,666,know-interrogative-interrogative
do you know what that is ?,laurel_fathertoy.cha,2125,know,think,know,interrogative,interrogative,2,6.267,laurel,father,*CHI:	hunhunh.,*FAT:	I don't see one.,*FAT:	well.,*FAT:	I guess it didn't.,*FAT:	you wanna put that on?,*CHI:	what?,*CHI:	xxx .,*FAT:	xxx .,*FAT:	put the steeringwheel back on.,*FAT:	whet's  that?,*FAT:	do you know what that is?,*CHI:	xxx.,*FAT:	what is it?,666,know-interrogative-interrogative
"(o)kay , do you know where to put that ?",frank_mothertoy.cha,1817,know,think,know,interrogative,interrogative,2,6.193,frank,mother,*MOT:	is there another one?,*MOT:	another color?,*CHI:	&ah . there's only three.,*MOT:	how bout that yellow one?,*CHI:	this one?,*MOT:	yeah.,*MOT:	but there should be another yellow one.,*MOT:	oh there it is underneath there.,*MOT:	okay.,*CHI:	where?,"*MOT:	okay, do you know where to put that?",*CHI:	yeah.,*CHI:	like this?,666,know-interrogative-interrogative
"I think they're all empty , pet .",olivia_fathertoy.cha,685,know,think,think,declarative,declarative,1,2.17,olivia,father,*FAT:	put the milk in it.,*CHI:	huh?,*FAT:	haven't you got a bottle of milk?,*CHI:	no.,"*FAT:	yes, ya have.",*FAT:	there's the pretend bottle of milk.,*FAT:	can I have some [slurping sounds]?,*CHI:	[laughs no].,*CHI:	it goes up here.,*FAT:	okay.,"*FAT:	I think they're all empty, pet.",*FAT:	every one of them are empty.,*CHI:	what's in here?,666,think-declarative-declarative
I thought you were my baby .,laurel_fathertoy.cha,2515,knew,thought,think,declarative,declarative,1,2.212,laurel,father,*CHI:	yeah.,*CHI:	what would you like to take home.,*FAT:	well.,*FAT:	what do you want me to take home?,*CHI:	xxx.,*CHI:	what  what you want to take home for your baby?,*FAT:	well.,*FAT:	who's my baby?,*CHI:	Nancy.,*FAT:	Nancy's my baby?,*FAT:	I thought you were my baby.,*CHI:	Nancy is.,*FAT:	no.,666,think-declarative-declarative
"oh , I thought you did .",xavia_fathertoy.cha,2058,knew,thought,think,declarative,declarative,1,2.209,xavia,father,*CHI:	how do ya get this back out?,*CHI:	how do you get this in?,*CHI:	there.,*CHI:	it's in.,*FAT:	okay.,*CHI:	I got the jack !,"*FAT:	well, wait.",*FAT:	you didn't put the tire on.,*FAT:	don't you know?,"*CHI:	yeah, I know.","*FAT:	oh, I thought you did.",*FAT:	.. I think it's all set.,*CHI:	you're right.,666,think-declarative-declarative
but Craig isn't so &ha [/] happy any more cause he thought he was going to be able to get it .,susan_mothertoy.cha,2335,knew,thought,think,declarative,declarative,3,2.022,susan,mother,*MOT:	 you have_to be gentle with my pussy cat.,*MOT:	the pussy cat gets off of Charlie's face and starts running up .,*MOT:	this pussy cat is really trying very hard not to get caught.,*MOT:	he climbs up the tree and he jumps over to this branch.,*MOT:	now he doesn't have any place to go so Charlie reaches over and,*MOT:	and that doesn't bother the pussy cat.,*MOT:	cats don't mind being picked up that way.,*CHI:	ouch.,*MOT:	oh I'm sorry.,*MOT:	&um and here's Mathilda ever: so happy . that Charlie got the cat,*MOT:	but Craig isn't so &ha  happy any more cause he thought he was going to be able to get it.,*MOT:	just then what: happens?,*MOT:	look_it there.,666,think-declarative-declarative
I think it is .,katie_mothertoy.cha,166,know,think,think,declarative,declarative,1,2.323,katie,mother,*CHI:	what's that?,*MOT:	that's just a  a &s  a piano I think.,*MOT:	I don't know.,*MOT:	can you read me the story though?,*MOT:	tell me what's in this book.,*CHI:	I wanna play the piano.,*CHI:	well.,*MOT:	we will after we read the story.,*MOT:	let's do the story first.,*CHI:	is this a piano?,*MOT:	I think it is.,*MOT:	we'll open it up in a minute.,*CHI:	what?,666,think-declarative-declarative
I think you might like them .,nanette_dinner.cha,221,know,think,think,declarative,declarative,1,2.062,nanette,dinner,*FAT:	did you buy these fresh?,*MOT:	yeah.,*MOT:	I just bought them today.,*MOT:	they're like  .,*FAT:	that's  why.,"*MOT:	oh, cause they was out_of season ?",*CHI:	they're hot .,*FAT:	you haven't   you haven seen then that fresh.,*MOT:	that's what it is.,*MOT:	but they're  they're like little cabbages.,*MOT:	I think you might like them.,"*MOT:	they might be too hot, though.",*MOT:	try it and see.,666,think-declarative-declarative
I think we forgot xxx .,laurel_mothertoy.cha,673,know,think,think,declarative,declarative,1,2.124,laurel,mother,*MOT:	this's a screw.,*MOT:	okay?,*MOT:	put that in there.,*MOT:	and can you push it in with the screwdriver?,*MOT:	or with your hands if you want?,*MOT:	oh.,*MOT:	that went in easy.,*CHI:	xxx.,*CHI:	xxx .,"*MOT:	you know what I think  we forgot, Laurie?",*MOT:	I think we forgot xxx.,*MOT:	I don't know where this goes.,*MOT:	do you remember where it goes?,666,think-declarative-declarative
but I think they're gonna put it there by themselves once they assemble it .,john_mothertoy.cha,1374,know,think,think,declarative,declarative,1,2.166,john,mother,*MOT:	put it in here.,*MOT:	you know why?,*MOT:	because it won't fit in here.,*MOT:	oh.,*MOT:	it might.,*MOT:	yeah.,*MOT:	I don't know.,*MOT:	guess you can leave it.,*MOT:	that's the way we found it.,*MOT:	that is the box for the car.,*MOT:	but I think they're gonna put it there by themselves once they assemble it.,*MOT:	you did find the box.,*MOT:	I didn't even realize it was here.,666,think-declarative-declarative
I think I will .,andy_dinner.cha,1656,know,think,think,declarative,declarative,1,2.298,andy,dinner,*CHI:	no I &di . ,*MOT:	because   . ,*CHI:	but I won   ! ,*MOT:	you haven't even  finished yet. ,*CHI:	but I won ! ,*MOT:	Andy ! ,*CHI:	I did finish. ,*CHI:	I won. ,*FAT:	you're not gonna eat that watermelon? ,*CHI:	uhuh. ,*FAT:	I think I will. ,*CHI:	all finished. ,*MOT:	okay. ,666,think-declarative-declarative
I think that maybe we're not supposed to open it .,nanette_mothertoy.cha,1096,know,think,think,declarative,declarative,1,2.417,nanette,mother,*MOT:	there's nothing in the box.,"*MOT:	this, Nanette, is  is baby oatmeal.",*MOT:	this is .,*MOT:	when you were a little tiny baby the first thing I ever gave you to,*MOT:	and it came in a little tiny box like this.,*MOT:	and you only haved a little table spoonful.,*MOT:	you eat a lot more than that now.,*CHI:	it's too hard for me.,*MOT:	I know.,*MOT:	it was too hard for me too.,*MOT:	I think that maybe we're not supposed to open it.,*MOT:	that's why it's so hard.,"*CHI:	you xxx have that, Mommy.",666,think-declarative-declarative
I think this is a funny funny book that doesn't have any words .,isadora_mothertoy.cha,2410,know,think,think,declarative,declarative,1,2.153,isadora,mother,*MOT:	what?,*MOT:	come here.,*MOT:	can you bring your chair over?,*MOT:	and we'll  look at this book.,*CHI:	yeah .,*CHI:	I'm  I'm xxx .,*CHI:	I'm wanna  play in the store.,*CHI:	Mommy +/.,*MOT:	you know what?,*CHI:	xxx.,*MOT:	I think this is a funny funny book that doesn't have any words.,*MOT:	where did   where did we find a.,*CHI:	why ?,666,think-declarative-declarative
I [>] think you fixed everything .,xavia_mothertoy.cha,578,know,think,think,declarative,declarative,1,2.076,xavia,mother,*CHI:	okay.,*CHI:	it's alright.,*CHI:	I think it is .,"*CHI:	oh good, Paul.",*CHI:	I'm such a .,"*CHI:	there, that's that.",*CHI:	&uh now  I can put the driver back in the car and I can get,"*CHI:	oh, I forgot something.",*MOT:	have you forgotten something.,"*MOT:	I cann't think of anything, can you?",*MOT:	I  think you fixed everything.,*CHI:	that .,*CHI:	no I didn't.,666,think-declarative-declarative
"honey , I really think it's gonna be too late .",david_dinner.cha,349,know,think,think,declarative,declarative,1,2.253,david,dinner,"*CHI:	I wanna do it, too.",*FAT:	and some comedians.,"*CHI:	I wanna come, too.",*CHI:	we can .,*CHI:	I wanna bring a blanket.,*CHI:	cause I .,"*CHI:	Mommy, please?",*MOT:	no .,*CHI:	can I ?,*MOT:	I  .,"*MOT:	honey, I really think it's gonna be too late.",*CHI:	I still wanna go.,*MOT:	you do.,666,think-declarative-declarative
I think we oughta try an put this car back together again .,ursula_mothertoy.cha,2122,know,think,think,declarative,declarative,1,2.116,ursula,mother,*MOT:	and the little girl .,*MOT:	I dunno  what she's up to.,*MOT:	oh she says .,*MOT:	wait a minute.,"*MOT:	and she goes in the house, and she comes out with some iced tea",*MOT:	oh !,*MOT:	she figures they need a little refreshment after trying to catch,"*MOT:	they all look rather happy, don't they?",*CHI:	now  now can we .,*MOT:	I think you know what we oughta do?,*MOT:	I think we oughta try an put this car back together again.,*CHI:	but how can  can you .,*MOT:	the way we found it .,666,think-declarative-declarative
I think this is called a wrench .,patricia_mothertoy.cha,121,know,think,think,declarative,declarative,1,2.147,patricia,mother,*CHI:	a banger.,*MOT:	a what?,*CHI:	a banger.,*MOT:	a banger?,*CHI:	yeah.,*MOT:	oh?,*MOT:	what's a banger?,*CHI:	like a screwdriver.,*MOT:	that's like a screwdriver.,*MOT:	very good.,*MOT:	I think this is called a wrench.,*CHI:	yeah.,*MOT:	yes.,666,think-declarative-declarative
you think there might be some money in there ?,laurel_mothertoy.cha,1744,know,think,think,interrogative,declarative,2,5.01,laurel,mother,*MOT:	this is a little store.,*MOT:	you know when I go to the store?,*MOT:	I buy food.,*MOT:	and then the lady rings it all up on the cash register.,*CHI:	yeah.,*MOT:	would you like  would you like for me to buy food?,*CHI:	you play xxx.,*CHI:	xxx put this xxx.,*MOT:	I wonder if they have some money to play with.,*MOT:	you think so?,*MOT:	you think there might be some money in there?,*CHI:	yeah.,*MOT:	how do we open this?,666,think-interrogative-declarative
do you think we should put this back together <again (.) alright [= alright] oh> [>] .,bobby_fathertoy.cha,3078,know,think,think,interrogative,declarative,2,5.057,bobby,father,*FAT:	we're all done. ,*FAT:	okay. ,"*INV:	hi, Bobby. ",*CHI:	hi. ,*FAT:	wanna hurry up and put it back together again. ,*CHI:	yeah. ,"*INV:	Bobby, thank_you very much for coming we have a present for you.",*FAT: [gasp what do you say]. ,*CHI:	thank_you. ,*INV:	you'll welcome. ,*FAT:	do you think we should put this back together again . alright  oh . ,*INV:	oh oh no leave it . ,*INV:	xxx Bobby  while we'll waiting you can hang around in here .,666,think-interrogative-declarative
do you think they can get in there ?,bobby_mothertoy.cha,1832,know,think,think,interrogative,declarative,2,5.069,bobby,mother,*CHI:	them  them  them not pat the kitty.,*MOT:	why?,*CHI:	cause he jump  cause he jump  jump xxx.,*MOT:	jump?,*CHI:	yeah.,*MOT:	what's the kitty cat doing?,*CHI:	running away.,"*MOT:	alright, now where's he gonna go?",*CHI:	xxx.,*MOT:	right.,*MOT:	do you think they can get in there?,*CHI:	xxx.,*MOT:	are they gonna follow him?,666,think-interrogative-declarative
you think that's the way she's viewing it ?,charlie_dinner.cha,3754,know,think,think,interrogative,declarative,2,5.014,charlie,dinner,*MOT:	I  I agree but &y your speaking from   the,"*FAT:	well, e  even  even from a <human &uh . from an aesthetic",*CHI:	I spilled some  .,"*CHI:	I spilled some, I spilled some, I spilled some, I spilled some","*FAT:	<I think there's some  supposed to be, what twice as many",*FAT:	does she want that?,*MOT:	I don't know whether she .,"*CHI:	I spilled, I spilled, I spilled .",*FAT:	it seems to me she's taking very much in the attitude of .,*FAT:	 I find pleasure in it right now and it's somebody else's problem,*MOT:	you think that's the way she's viewing it?,*CHI:	I spilled it.,*CHI:	I spilled    .,666,think-interrogative-declarative
you think it sits there and holds up the car maybe ?,wanda_fathertoy.cha,632,know,think,think,interrogative,declarative,2,5.022,wanda,father,*FAT:	what is this?,*FAT:	I don't know what this is.,"*FAT:	okay, go ahead.",*CHI:	what ya hafta do?,*FAT:	I'm not quite sure.,*CHI:	I think you hafta hold that.,"*FAT:	oh, I see what this is.","*FAT:	oh, this was a jack.",*CHI:	what does it do?,*FAT:	I think  I think that's what I thought it was.,*FAT:	you think it sits there and holds up the car maybe?,*CHI:	yeah.,*FAT:	okay.,666,think-interrogative-declarative
you think that's funny ?,ursula_mothertoy.cha,2010,know,think,think,interrogative,declarative,2,5.015,ursula,mother,*MOT:	he climbs: up the tree.,*CHI:	[laughs].,"*MOT:	the kitty cat's hanging on by one limb, grabs a hold of him.",*CHI: [giggles].,*MOT:	whoops: there goes the branch.,*MOT:	it's ready to crack.,*MOT:	oh oh.,*MOT:	there it goes snap !,*MOT:	he's fallen down.,*CHI:	[laughs].,*MOT:	you think that's funny?,*CHI:	[laughs what happened]?,*MOT:	xxx  the man .,666,think-interrogative-declarative
do you think he'll be home later ?,katie_mothertoy.cha,610,know,think,think,interrogative,declarative,2,5.105,katie,mother,*CHI:	tummy's hurt.,*MOT:	your tummy hurts?,*CHI:	yeah.,"*MOT:	you still don't feel well, do you?",*CHI:	I still don't feel well.,*MOT:	did you have medicine today?,*CHI:	I did.,*MOT:	was Daddy home when you left?,*MOT:	no.,*CHI:	Daddy's not home.,*MOT:	do you think he'll be home later?,*CHI:	yeah.,*MOT:	where's Louise?,666,think-interrogative-declarative
do you think that cat looks happy ?,charlie_fathertoy.cha,2789,know,think,think,interrogative,declarative,2,5.083,charlie,father,*FAT:	but he after all caught the cat. ,"*FAT:	so why should she complain, right? ",*CHI:	right. ,*FAT:	and then the cat is about to go up the tree. ,*CHI:	yeah. ,*FAT:	yeah and xxx . ,*FAT:	look he scratched the policeman's face off. ,*FAT:	and then . the policeman's trying to catch the cat. ,*FAT:	and here . he got him. ,*FAT:	what do you think the cat . ,*FAT:	do you think that cat looks happy? ,*CHI:	no he looks mad. ,*FAT:	he looks mad. ,666,think-interrogative-declarative
do you think you might like to try the car again ?,olivia_mothertoy.cha,2590,know,think,think,interrogative,declarative,2,5.041,olivia,mother,*MOT:	&hmm?,*CHI:	where'd ya sleep?,*MOT:	go  I'm gonna go into my bed.,*CHI:	huh?,*MOT:	can I sleep in your bed?,*MOT:	no?,*CHI:	no.,*MOT:	can I go on the sofa?,*INV:	0.,*CHI:	Sandy.,*INV:	do you think you might like to try the car again?,*MOT:	the car?,*MOT:	okay.,666,think-interrogative-declarative
you think you can fix my car next time it breaks ?,laurel_mothertoy.cha,438,know,think,think,interrogative,declarative,2,5.005,laurel,mother,*MOT:	well.,*MOT:	you have_to use a screwdriver.,*MOT:	use the screwdriver.,*MOT:	is it hard to turn?,*MOT:	I bet you can do it.,*MOT:	here.,*MOT:	let's do it together.,"*MOT:	let's turn it this way, Laurie.",*MOT:	this way.,*MOT:	there we go.,*MOT:	you think you can fix my car next time it breaks?,*CHI:	xxx.,*MOT:	very good.,666,think-interrogative-declarative
well (.) do you think it goes in there ?,bobby_mothertoy.cha,1156,know,think,think,interrogative,declarative,2,5.1,bobby,mother,*CHI:	ow.,"*MOT:	okay, alright, how about can I have some coffee?",*CHI:	xxx coffee.,"*MOT:	alright, all I have is four cents.",*MOT:	is that enough?,*CHI:	yep.,*MOT:	okay.,*CHI:	xxx.,*MOT:	alright.,*CHI:	xxx in here.,*MOT:	well . do you think it goes in there?,*CHI:	yeah.,*MOT:	what about all the other money?,666,think-interrogative-declarative
<you think> [<] that might be a good idea ?,ursula_fathertoy.cha,1147,know,think,think,interrogative,declarative,2,5.017,ursula,father,*CHI:	it's  it's used for cars to  when there's something wrong,*FAT:	uhhuh.,*CHI:	xxx I'm all done now I'm almost xxx .,*FAT:	well  you didn't take it off though.,*FAT:	don't you think we should take that off?,*FAT:	how bout  if Dad takes it off?,*CHI:	yeah .,*FAT:	and you try to put it back together again?,*CHI:	yeah.,*CHI:	take   .,*FAT:	you think  that might be a good idea?,*CHI:	yeah +/.,*FAT:	well let's  try that.,666,think-interrogative-declarative
do you think they'd better put their &sw +...,laurel_fathertoy.cha,600,know,think,think,interrogative,declarative,2,5.067,laurel,father,*FAT:	yeah.,*FAT:	what is that?,*FAT:	do you know?,*CHI:	hole.,*CHI:	and they're gonna fall in the water.,*FAT:	they're gonna fall in the water?,*CHI:	yeah.,*FAT:	oh.,*FAT:	are they gonna get wet?,*CHI:	yeah.,*FAT:	do you think they'd better put their &sw .,*FAT:	look [gasp].,*FAT:	you're right.,666,think-interrogative-declarative
do you think they'll ever catch that cat ?,laurel_mothertoy.cha,1236,know,think,think,interrogative,declarative,2,5.065,laurel,mother,"*MOT:	and what happened, Laurie?",*CHI:	they fell xxx.,*MOT:	they sure did.,*CHI:	why did he?,*MOT:	because he didn't know the water was there.,*MOT:	and he stepped out_of the pipe and went right into the water.,*MOT:	and the cat .,*MOT:	what did the cat do?,*CHI:	ran away.,*MOT:	yeah.,*MOT:	do you think they'll ever catch that cat?,*CHI:	no.,*MOT:	well.,666,think-interrogative-declarative
"no , did you think that Mommy would be or is it somebody else ?",wanda_dinner.cha,903,know,think,think,interrogative,declarative,2,5.117,wanda,dinner,*CHI:	no it was broken.,*FAT:	yeah it  y  you just turned it and it came out?,*CHI:	yeah.,*FAT:	you just turned it on once?,*CHI:	yeah I tried to put it back because I thought ..,*FAT:	[laughs].,*MOT:	[laughs].,*CHI:	she would be mad at me.,*MOT:	you thought I'd be mad at you?,*MOT:	now I'm not understanding.,"*FAT:	no, did you think that Mommy would be or is it somebody else?",*CHI:	Mommy would be mad.,*FAT:	oh.,666,think-interrogative-declarative